angle,range,altitude,flight_time
15,1398.094475890865,324.57879576570707,17.089999999999872
16,1402.2798312009477,335.2644750864202,17.38999999999992
17,1405.9643617301444,346.0669674475324,17.689999999999966
18,1408.9217459471156,356.9755281800133,17.98000000000001
19,1411.6258883046603,367.9806136054829,18.280000000000058
20,1413.6264543183381,379.0727945969035,18.570000000000103
21,1415.157724195078,390.24312450088115,18.86000000000015
22,1416.2230313793643,401.4829230698756,19.150000000000194
23,1416.6307152137474,412.78407300630016,19.430000000000238
24,1416.5918146245504,424.13874327579043,19.71000000000028
25,1416.1088789318385,435.5392438928837,19.990000000000325
26,1415.1843966473614,446.97801645995037,20.27000000000037
27,1413.8207988708316,458.44815384271106,20.550000000000413
28,1411.855597537186,469.942442600448,20.820000000000455
29,1409.4669455531916,481.4541659585404,21.090000000000497
30,1406.6566866580258,492.97668209003143,21.36000000000054
31,1403.4266260583888,504.5034192797139,21.63000000000058
32,1399.6341830987149,516.0281638048816,21.890000000000622
33,1395.4349580090382,527.5444902215343,22.150000000000663
34,1390.8302785596607,539.0465005885499,22.410000000000704
35,1385.8214428458125,550.5279776839232,22.670000000000744
36,1380.4097184663378,561.9830306725873,22.930000000000785
37,1374.4740505157777,573.4058001338561,23.180000000000824
38,1368.1460154758774,584.7905309028661,23.430000000000863
39,1361.4264825783143,596.131685074031,23.680000000000902
40,1354.2054572890597,607.4233115741226,23.92000000000094
41,1346.709110195072,618.6602102881327,24.17000000000098
42,1338.7199173976244,629.8366468259889,24.410000000001016
43,1330.2487606987381,640.9471937942708,24.640000000001052
44,1321.5003126250988,651.9864798817534,24.88000000000109
45,1312.2771323188995,662.9491399661473,25.110000000001126
46,1302.6798622775093,673.8298136621713,25.34000000000116
47,1292.7086661239798,684.6233108133057,25.570000000001198
48,1282.2784068382082,695.3243989006663,25.790000000001232
49,1271.5625651012397,705.9277443371286,26.020000000001268
50,1260.3133956572608,716.4282468232939,26.2300000000013
51,1248.7783891975232,726.8208523655824,26.450000000001335
52,1236.8000225565474,737.1003017758125,26.660000000001368
53,1224.457807630619,747.2615329699416,26.8700000000014
54,1211.7513481673973,757.299474438899,27.080000000001434
55,1198.6124131027286,767.2090440879351,27.280000000001465
56,1185.1784121218395,776.985336279145,27.490000000001498
57,1171.2518797654213,786.6232764495818,27.680000000001527
58,1157.0289876293732,796.1177527626799,27.88000000000156
59,1142.3840634224705,805.4639876762358,28.07000000000159
60,1127.3222530938963,814.6569222668236,28.250000000001616
61,1111.9595619280562,823.6915677000177,28.440000000001646
62,1096.1819256992464,832.5630450259439,28.620000000001674
63,1079.993809615401,841.2664565477374,28.7900000000017
64,1063.499887524189,849.7968847225287,28.97000000000173
65,1046.5967753193545,858.1493910102361,29.140000000001756
66,1029.288365679709,866.3191416853315,29.30000000000178
67,1011.6235895445961,874.3013806702306,29.460000000001806
68,993.6011634705044,882.0910763734186,29.62000000000183
69,975.1775721783359,889.6834582869012,29.770000000001854
70,956.3967783870659,897.0738623178383,29.920000000001878
71,937.2574441785366,904.2573258438833,30.0700000000019
72,917.7204326959309,911.2290851820248,30.210000000001923
73,897.7886993413546,917.9843660416175,30.340000000001943
74,877.5001854082458,924.5186498512413,30.470000000001964
75,856.8536545938443,930.8269195523505,30.600000000001984
76,835.8155556895422,936.904681978807,30.720000000002003
77,814.4199126174551,942.7471087380396,30.84000000000202
78,792.6360119084051,948.349739788238,30.95000000000204
79,770.4955066136217,953.7079453982994,31.060000000002056
