time,x,y,vx,vy
0.0,0.0,0.0,100.0,100.0
0.01,1.0,1.0,100.07071067811866,99.97261067811866
0.02,2.000707106781187,1.9997261067811865,100.14116001322515,99.94523754206105
0.03,3.0021187069134383,2.999178482201797,100.21134893761673,99.91788085853729
0.04,4.004232196289606,3.99835729078717,100.28127838093991,99.89054089216654
0.05,5.007044980099005,4.997262699708835,100.3509492701905,99.86321790548607
0.060000000000000005,6.01055447280091,5.995894878763695,100.42036252971388,99.8359121589602
0.07,7.014758098098049,6.994254000353298,100.48951908120534,99.80862391098935
0.08,8.019653288910103,7.992340239463191,100.55841984371042,99.781353417919
0.09,9.025237487347207,8.990153773642382,100.62706573362543,99.75410093404867
0.09999999999999999,10.03150814468346,9.987694782982869,100.69545766469797,99.72686671164095
0.10999999999999999,11.03846272133044,10.98496345009928,100.7635965480276,99.69965100093047
0.11999999999999998,12.046098686810716,11.981959960108584,100.83148329206658,99.6724540501329
0.12999999999999998,13.054413519731382,12.978684500609914,100.89911880262062,99.64527610545389
0.13999999999999999,14.063404707757588,13.975137261664452,100.96650398284983,99.61811741109811
0.15,15.073069747586086,14.971318435775434,101.03363973326962,99.59097820927819
0.16,16.083406144918783,15.967228217868216,101.10052695175179,99.56385874022368
0.17,17.0944114144363,16.962866805270455,101.16716653352559,99.53675924219003
0.18000000000000002,18.106083079771558,17.958234397692355,101.23355937117897,99.50967995146756
0.19000000000000003,19.118418673483347,18.95333119720703,101.29970635465979,99.48262110239041
0.20000000000000004,20.131415737029947,19.948157408230937,101.36560837127722,99.45558292734545
0.21000000000000005,21.145071820742718,20.942713237504393,101.43126630570309,99.42856565678126
0.22000000000000006,22.159384483799748,21.936998894072204,101.49668103997342,99.40156951921705
0.23000000000000007,23.174351294199482,22.931014589264375,101.56185345348997,99.37459474125157
0.24000000000000007,24.189969828734384,23.924760536676892,101.62678442302186,99.34764154757205
0.25000000000000006,25.2062376729646,24.91823695215261,101.69147482270726,99.32071016096309
0.26000000000000006,26.223152421191674,25.911444053762242,101.7559255240552,99.29380080231556
0.2700000000000001,27.240711676432227,26.904382061785398,101.82013739594734,99.2669136906355
0.2800000000000001,28.2589130503917,27.897051198691752,101.88411130463994,99.24004904305299
0.2900000000000001,29.2777541634381,28.889451689122282,101.9478481137658,99.213207074831
0.3000000000000001,30.297232644575757,29.881583759870594,102.01134868433627,99.1863879993743
0.3100000000000001,31.31734613141912,30.873447639864338,102.0746138747434,99.15959202823825
0.3200000000000001,32.338092270166555,31.86504356014672,102.13764454076211,99.13281937113766
0.3300000000000001,33.359468715574174,32.8563717538581,102.20044153555236,99.10607023595561
0.34000000000000014,34.3814731309297,33.84743245621765,102.2630057096615,99.0793448287523
0.35000000000000014,35.40410318802631,34.83822590450518,102.32533791102661,99.05264335377379
0.36000000000000015,36.42735656713658,35.82875233804292,102.38743898497692,99.02596601346082
0.37000000000000016,37.45123095698634,36.81901199817752,102.44930977423628,98.99931300845758
0.38000000000000017,38.47572405472871,37.8090051282621,102.51095111892572,98.97268453762048
0.3900000000000002,39.500833565917965,38.798731973638304,102.572363856566,98.94608079802688
0.4000000000000002,40.52655720448362,39.78819278161858,102.63354882208033,98.91950198498384
0.4100000000000002,41.552892692704425,40.777387801468414,102.69450684779703,98.89294829203682
0.4200000000000002,42.5798377611824,41.76631728438878,102.75523876345234,98.86641991097841
0.4300000000000002,43.60739014881692,42.75498148349857,102.81574539619322,98.83991703185698
0.4400000000000002,44.63554760277885,43.74338065381714,102.87602757058026,98.81343984298543
0.45000000000000023,45.66430787848465,44.731515052247,102.9360861085906,98.78698853094977
0.46000000000000024,46.693668739570555,45.7193849375565,102.99592182962093,98.7605632806178
0.47000000000000025,47.72362795786676,46.70699057036268,103.05553555049052,98.73416427514775
0.48000000000000026,48.75418331337167,47.69433221311415,103.11492808544435,98.70779169599685
0.49000000000000027,49.78533259422611,48.68141013007412,103.17410024615624,98.68144572292995
0.5000000000000002,50.81707359668768,49.66822458730342,103.23305284173207,98.65512653402813
0.5100000000000002,51.849404125104996,50.6547758526437,103.29178667871302,98.6288343056972
0.5200000000000002,52.88232199189213,51.64106419570067,103.35030256107888,98.60256921267627
0.5300000000000002,53.91582501750292,52.62708988782744,103.40860129025138,98.57633142804632
0.5400000000000003,54.94991103040543,53.6128532021079,103.46668366509765,98.55012112323861
0.5500000000000003,55.98457786705641,54.59835441334029,103.52455048193362,98.5239384680433
0.5600000000000003,57.019823371875745,55.58359379802072,103.58220253452754,98.49778363061777
0.5700000000000003,58.05564539722102,56.5685716343269,103.63964061410353,98.47165677749523
0.5800000000000003,59.09204180336206,57.553288202101854,103.69686550934514,98.44555807359302
0.5900000000000003,60.12901045845551,58.53774378283779,103.75387800639905,98.41948768222112
0.6000000000000003,61.1665492385195,59.521938659659995,103.81067888887868,98.3934457650905
0.6100000000000003,62.20465602740829,60.5058731173109,103.86726893786798,98.36743248232152
0.6200000000000003,63.24332871678697,61.48954744213411,103.92364893192514,98.34144799245225
0.6300000000000003,64.28256520610623,62.47296192205863,103.97981964708649,98.31549245244685
0.6400000000000003,65.3223634025771,63.4561168465831,104.03578185687024,98.28956601770386
0.6500000000000004,66.3627212211458,64.43901250676014,104.0915363322805,98.26366884206453
0.6600000000000004,67.40363658446861,65.42164919518078,104.14708384181112,98.23780107782108
0.6700000000000004,68.44510742288672,66.40402720595898,104.20242515144976,98.2119628757249
0.6800000000000004,69.48713167440121,67.38614683471623,104.25756102468182,98.18615438499488
0.6900000000000004,70.52970728464803,68.36800837856617,104.31249222249457,98.16037575332558
0.7000000000000004,71.57283220687297,69.34961213609942,104.36721950338122,98.13462712689542
0.7100000000000004,72.61650440190678,70.33095840736837,104.42174362334507,98.10890865037484
0.7200000000000004,73.66072183814023,71.31204749387211,104.47606533590366,98.08322046693449
0.7300000000000004,74.70548249149927,72.29287969854146,104.53018539209302,98.05756271825331
0.7400000000000004,75.7507843454202,73.27345532572399,104.5841045404719,98.03193554452668
0.7500000000000004,76.79662539082491,74.25377468116925,104.63782352712605,98.00633908447446
0.7600000000000005,77.84300362609618,75.233838072014,104.69134309567255,97.98077347534912
0.7700000000000005,78.8899170570529,76.21364580676749,104.74466398726418,97.9552388529437
0.7800000000000005,79.93736369692554,77.19319819529693,104.79778694059377,97.92973535159986
0.7900000000000005,80.98534156633148,78.17249554881293,104.85071269189868,97.90426310421593
0.8000000000000005,82.03384869325048,79.1515381798551,104.9034419749652,97.87882224225477
0.8100000000000005,83.08288311300012,80.13032640227765,104.9559755211331,97.85341289575182
0.8200000000000005,84.13244286821146,81.10886053123517,105.00831405930008,97.82803519332296
0.8300000000000005,85.18252600880446,82.0871408831684,105.0604583159264,97.80268926217246
0.8400000000000005,86.23313059196373,83.06516777579013,105.11240901503943,97.77737522810084
0.8500000000000005,87.28425468211412,84.04294152807114,105.16416687823829,97.7520932155127
0.8600000000000005,88.3358963508965,85.02046246022627,105.21573262469843,97.72684334742459
0.8700000000000006,89.38805367714349,85.99773089370052,105.2671069711764,97.7016257454728
0.8800000000000006,90.44072474685525,86.97474715115524,105.3182906320145,97.67644052992114
0.8900000000000006,91.4939076531754,87.95151155645445,105.3692843191455,97.65128781966872
0.9000000000000006,92.54760049636685,88.92802443465114,105.42008874209749,97.62616773225768
0.9100000000000006,93.60180138378783,89.90428611197372,105.47070460799854,97.6010803838809
0.9200000000000006,94.65650842986781,90.88029691581252,105.52113262158164,97.57602588938965
0.9300000000000006,95.71171975608362,91.85605717470642,105.57137348518948,97.55100436230134
0.9400000000000006,96.76743349093552,92.83156721832944,105.62142789877933,97.52601591480706
0.9500000000000006,97.82364776992331,93.8068273774775,105.67129655992795,97.50106065777926
0.9600000000000006,98.88036073552259,94.7818379840553,105.7209801638365,97.47613870077933
0.9700000000000006,99.93757053716095,95.75659937106309,105.77047940333549,97.45125015206516
0.9800000000000006,100.9952753311943,96.73111187258374,105.81979496888975,97.42639511859865
0.9900000000000007,102.05347328088321,97.70537582376973,105.86892754860345,97.40157370605327
1.0000000000000007,103.11216255636924,98.67939156083025,105.91787782822507,97.37678601882153
1.0100000000000007,104.17134133465149,99.65315942101847,105.9666464911525,97.35203216002246
1.0200000000000007,105.23100779956302,100.62667974261869,106.01523421843805,97.327312231509
1.0300000000000007,106.2911601417474,101.59995286493378,106.06364168879358,97.30262633387548
1.0400000000000007,107.35179655863533,102.57297912827254,106.11186957859557,97.27797456646496
1.0500000000000007,108.41291525442128,103.54575887393719,106.15991856189031,97.25335702737662
1.0600000000000007,109.47451444004018,104.51829244421096,106.20778931039895,97.2287738134731
1.0700000000000007,110.53659233314417,105.49058018234568,106.25548249352279,97.20422502038778
1.0800000000000007,111.5991471580794,106.46262243254957,106.30299877834838,97.17971074253211
1.0900000000000007,112.66217714586288,107.43441953997488,106.35033882965278,97.15523107310283
1.1000000000000008,113.72568053415941,108.40597185070591,106.39750330990879,97.13078610408922
1.1100000000000008,114.78965556725849,109.37727971174681,106.44449287929012,97.10637592628036
1.1200000000000008,115.85410049605139,110.34834347100961,106.49130819567681,97.08200062927223
1.1300000000000008,116.91901357800816,111.31916347730234,106.53794991466035,97.05766030147491
